地名,センター,プラスチック,ペットボトル,びん,かん,雑誌・雑紙,紙パック,段ボール,新聞,古着・古布,可燃ごみ,不燃ごみ,有害ごみ
元八王子町１〜３丁目,収集地区13,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150114,隔金20150116,月 木,隔火20150106,隔火20150106
元本郷町１〜４丁目,収集地区19,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150107,隔月20150112,火 金,隔水20150107,隔水20150107
元横山町１〜３丁目,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
八木町,収集地区15,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150107,隔金20150116,火 金,隔火20150106,隔火20150106
谷野町,収集地区6,火,隔月20150105,隔水20150107,隔水20150114,隔木20150108,隔木20150108,隔木20150108,隔水20150107,隔水20150121,火 金,隔金20150116,隔金20150116
山田町,収集地区3,月,隔金20140117,隔火20140114,隔火20140107,隔水20140115,隔水20140115,隔水20140115,隔水20140108,隔火20140114,火 金,隔木20140109,隔木20140109
鑓水,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
鑓水２丁目,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
八日町,収集地区17,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150114,隔月20150112,月 木,隔水20150107,隔水20150107
横川町,収集地区1,月,隔金20150109,隔火20150106,隔火20150114,隔水20150107,隔水20150107,隔水20150107,隔水20150114,隔火20150120,月 木,隔木20150115,隔木20150115
横山町,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
四谷町（八王子泉町住宅）,収集地区1,月,隔金20150109,隔火20150106,隔火20150114,隔水20150107,隔水20150107,隔水20150107,隔水20150114,隔火20150120,月 木,隔木20150115,隔木20150115
四谷町（八王子泉町住宅を除く）,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
万町,収集地区17,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150114,隔月20150112,月 木,隔水20150107,隔水20150107
